Element,Z,Electronegativity,IonizationPotential,ElectronAffinity,HOMO,LUMO,r_s_orbital,r_p_orbital,r_d_orbital,r_atomic_nonbonded,r_valence_lastorbital,r_covalent,Valence,PeriodicColumn,PeriodicColumn_upto18,NumberUnfilledOrbitals,Polarizability
Nd,60,1.14,-5.525,-0.5182,,,,,,2.39,,2.01,6,3,3,10,208.4
Pm,61,1.13,-5.582,-0.5182,,,,,,,,1.99,7,3,3,9,200.2
Sm,62,1.17,-5.6437,-0.5182,,,,,,,,1.98,8,3,3,8,192.1
Eu,63,1.2,-5.6704,-0.864,,,,,,2.35,,1.98,9,3,3,7,184.2
Gd,64,1.2,-6.1498,-0.5182,,,,,,,,1.96,10,3,3,16,158.3
Tb,65,1.2,-5.8638,-0.5182,,,,,,,,1.94,11,3,3,5,169.5
Dy,66,1.22,-5.9389,-0.5182,,,,,,,,1.92,12,3,3,4,162.7
Ho,67,1.23,-6.0215,-0.5182,,,,,,2.3,,1.92,13,3,3,3,156.3
Er,68,1.24,-6.1077,-0.5182,,,,,,,,1.89,14,3,3,2,150.2
Tm,69,1.25,-6.1843,-1.029,,,,,,2.27,,1.9,15,3,3,1,144.3
Yb,70,1.1,-6.2542,0.02,,,,,,2.26,,1.87,16,3,3,0,138.9
Lu,71,1.27,-5.4259,-0.3401,,,,,,1.6,,1.87,17,3,3,9,137.2
Hf,72,1.3,-6.4985,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18,4,4,8,109
Ta,73,1.5,-7.6933,0.2096,-3.5963,-0.4436,1.4665,1.6644,0.837,1.38,0.837,1.7,19,5,5,7,88
W,74,2.36,-8.8329,-0.4374,-4.4864,-0.3665,1.4074,1.6061,0.7906,1.46,0.7906,1.62,20,6,6,6,75
Re,75,1.9,-9.41,-1.0563,-5.3736,-0.267,1.3561,1.5549,0.7516,1.59,0.7516,1.51,21,7,7,5,65
Os,76,2.2,-9.1155,-1.8446,-6.0059,-0.0685,1.3156,1.5096,0.719,1.28,0.719,1.44,22,8,8,4,57
Ir,77,2.2,-8.8201,-2.541,-5.6901,0.5069,0.9966,1.4695,0.6939,1.37,0.6939,1.41,23,9,9,3,51
Pt,78,2.28,-9.1302,-2.2143,-5.312,0.8213,0.9879,1.4721,0.6707,1.28,0.6707,1.36,24,10,10,2,44
Au,79,2.54,-9.3842,-2.3142,-5.7531,0.7024,1.2274,1.4369,0.6436,1.44,1.2274,1.36,25,1,11,1,36.1
Hg,80,2,-10.719,1.688,-6.808,0.8594,1.1675,1.8734,0.6158,1.49,1.1675,1.32,26,2,12,0,34.27
Tl,81,2.04,-5.1215,0.0916,-2.3692,2.6329,1.0974,1.5446,0.5904,1.48,1.5446,1.45,27,3,13,5,51.6
Pb,82,2.33,-6.54,-0.7047,-3.496,2.5655,1.0396,1.4049,0.5676,1.47,1.4049,1.46,28,4,14,4,47.71
Bi,83,2.02,-7.8723,-1.5162,-4.5686,2.1526,0.9899,1.3017,0.5469,1.46,1.3017,1.48,29,5,15,3,50
Po,84,2,-9.1777,-2.2911,-5.6192,3.6676,0.9462,1.2195,0.5281,,1.2195,1.4,30,6,16,2,46
At,85,2.2,-10.4479,-3.0973,-6.6636,4.1368,0.9072,1.1513,0.5109,,1.1513,1.5,31,7,17,1,43
Rn,86,,-11.72,4.1935,-7.7111,1.5865,0.872,1.0932,0.4951,1.45,1.0932,1.5,32,8,18,0,34.33
Fr,87,0.7,-4.0156,-0.5341,-2.1686,-0.266,,,,,,2.6,1,1,1,1,315.2
Ra,88,0.9,-5.4295,1.1704,-3.2801,-1.1691,,,,,,2.21,2,2,2,0,242.8
Ac,89,1.1,,,,,,,,,,2.15,3,3,3,9,203.3
